epoch,step,test_accuracy,test_loss,train_loss,val_accuracy,val_loss
0,0,,,1.47713041305542,,
0,0,,,,0.20000000298023224,1.4129371643066406
1,1,,,1.355226993560791,,
1,1,,,,0.1899999976158142,1.2962538003921509
2,2,,,1.2506473064422607,,
2,2,,,,0.18000000715255737,1.1975265741348267
3,3,,,1.1621488332748413,,
3,3,,,,0.18000000715255737,1.1150082349777222
4,4,,,1.0879863500595093,,
4,4,,,,0.17000000178813934,1.0465648174285889
5,5,,,1.0261883735656738,,
5,5,,,,0.17000000178813934,0.9900190830230713
6,6,,,0.9748303890228271,,
6,6,,,,0.17000000178813934,0.9433626532554626
7,7,,,0.9321684837341309,,
7,7,,,,0.1599999964237213,0.904839038848877
8,8,,,0.8966898918151855,,
8,8,,,,0.1599999964237213,0.8729602098464966
9,9,,,0.8671190738677979,,
9,9,,,,0.14000000059604645,0.8464862704277039
10,10,,,0.8423924446105957,,
10,10,,,,0.12999999523162842,0.8244181275367737
11,11,,,0.821652352809906,,
11,11,,,,0.11999999731779099,0.8059643507003784
12,12,,,0.8042016625404358,,
12,12,,,,0.10999999940395355,0.7904271483421326
13,13,,,0.7894619703292847,,
13,13,,,,0.10999999940395355,0.7772851586341858
14,14,,,0.776958703994751,,
14,14,,,,0.10999999940395355,0.766083836555481
15,15,,,0.766287088394165,,
15,15,,,,0.15000000596046448,0.7564545273780823
16,16,,,0.7571234703063965,,
16,16,,,,0.14000000059604645,0.7481368780136108
17,17,,,0.7492117285728455,,
17,17,,,,0.15000000596046448,0.7408948540687561
18,18,,,0.7423615455627441,,
18,18,,,,0.20999999344348907,0.7345573306083679
19,19,,,0.7363938093185425,,
19,19,,,,0.25,0.7289758920669556
20,20,,,0.7311758399009705,,
20,20,,,,0.25999999046325684,0.7240262031555176
21,21,,,0.7265873551368713,,
21,21,,,,0.28999999165534973,0.7196061611175537
22,22,,,0.7225309610366821,,
22,22,,,,0.33000001311302185,0.7156316637992859
23,23,,,0.71892249584198,,
23,23,,,,0.36000001430511475,0.7120348215103149
24,24,,,0.7156914472579956,,
24,24,,,,0.36000001430511475,0.708753764629364
25,25,,,0.7127798199653625,,
25,25,,,,0.3700000047683716,0.7057401537895203
26,26,,,0.7101371884346008,,
26,26,,,,0.3799999952316284,0.7029561400413513
27,27,,,0.7077223062515259,,
27,27,,,,0.4000000059604645,0.700370192527771
28,28,,,0.7055031657218933,,
28,28,,,,0.41999998688697815,0.6979538798332214
29,29,,,0.7034516334533691,,
29,29,,,,0.4300000071525574,0.6956850290298462
30,30,,,0.7015413641929626,,
30,30,,,,0.4399999976158142,0.6935393810272217
31,31,,,0.6997460126876831,,
31,31,,,,0.44999998807907104,0.6914997100830078
32,32,,,0.6980524659156799,,
32,32,,,,0.46000000834465027,0.6895500421524048
33,33,,,0.6964389681816101,,
33,33,,,,0.46000000834465027,0.687673032283783
34,34,,,0.694892406463623,,
34,34,,,,0.46000000834465027,0.6858550906181335
35,35,,,0.6933985352516174,,
35,35,,,,0.4699999988079071,0.6840828061103821
36,36,,,0.6919440627098083,,
36,36,,,,0.47999998927116394,0.6823444962501526
37,37,,,0.6905182003974915,,
37,37,,,,0.47999998927116394,0.6806292533874512
38,38,,,0.6891118884086609,,
38,38,,,,0.47999998927116394,0.6789259910583496
39,39,,,0.6877155900001526,,
39,39,,,,0.49000000953674316,0.6772267818450928
40,40,,,0.6863207221031189,,
40,40,,,,0.49000000953674316,0.6755205392837524
41,41,,,0.6849213242530823,,
41,41,,,,0.49000000953674316,0.6738005876541138
42,42,,,0.6835085153579712,,
42,42,,,,0.49000000953674316,0.6720576286315918
43,43,,,0.682079017162323,,
43,43,,,,0.49000000953674316,0.6702827215194702
44,44,,,0.6806236505508423,,
44,44,,,,0.5,0.6684707403182983
45,45,,,0.6791399121284485,,
45,45,,,,0.5,0.6666139364242554
46,46,,,0.6776199340820312,,
46,46,,,,0.5,0.6647045612335205
