epoch,step,test_accuracy,test_loss,train_loss,val_accuracy,val_loss
23,23,,,,0.31299999356269836,0.723736584186554
24,24,,,0.7295365929603577,,
24,24,,,,0.3179999887943268,0.7198202013969421
25,25,,,0.7252890467643738,,
25,25,,,,0.32199999690055847,0.7162731289863586
26,26,,,0.7214530110359192,,
26,26,,,,0.32100000977516174,0.7130343914031982
27,27,,,0.7179763317108154,,
27,27,,,,0.3230000138282776,0.7100485563278198
28,28,,,0.7148005962371826,,
28,28,,,,0.33000001311302185,0.707272469997406
29,29,,,0.711880624294281,,
29,29,,,,0.34200000762939453,0.7046677470207214
30,30,,,0.7091791033744812,,
30,30,,,,0.35600000619888306,0.702208399772644
31,31,,,0.7066620588302612,,
31,31,,,,0.36000001430511475,0.6998608112335205
32,32,,,0.7043007016181946,,
32,32,,,,0.3779999911785126,0.6976085305213928
33,33,,,0.7020732164382935,,
33,33,,,,0.39100000262260437,0.6954399943351746
34,34,,,0.6999586224555969,,
34,34,,,,0.40299999713897705,0.6933327913284302
35,35,,,0.6979410648345947,,
35,35,,,,0.414000004529953,0.6912814378738403
36,36,,,0.6960042715072632,,
36,36,,,,0.4189999997615814,0.689276933670044
37,37,,,0.6941371560096741,,
37,37,,,,0.421999990940094,0.6873104572296143
38,38,,,0.6923296451568604,,
38,38,,,,0.4300000071525574,0.6853775382041931
39,39,,,0.6905719637870789,,
39,39,,,,0.4410000145435333,0.6834717392921448
40,40,,,0.6888571977615356,,
40,40,,,,0.4480000138282776,0.6815894246101379
41,41,,,0.6871756315231323,,
41,41,,,,0.44999998807907104,0.679726779460907
42,42,,,0.6855254769325256,,
42,42,,,,0.4560000002384186,0.6778804659843445
43,43,,,0.6838945746421814,,
43,43,,,,0.460999995470047,0.6760503053665161
44,44,,,0.6822822093963623,,
44,44,,,,0.4659999907016754,0.6742229461669922
45,45,,,0.6806781888008118,,
45,45,,,,0.4729999899864197,0.6724081635475159
46,46,,,0.6790823340415955,,
46,46,,,,0.4790000021457672,0.6705965995788574
47,47,,,0.6774879097938538,,
47,47,,,,0.4830000102519989,0.6687836647033691
48,48,,,0.6758889555931091,,
48,48,,,,0.48899999260902405,0.6669648885726929
49,49,,,0.674281656742096,,
49,49,,,,0.492000013589859,0.6651455163955688
50,50,,,0.6726645827293396,,
50,50,,,,0.4970000088214874,0.6633138656616211
51,51,,,0.6710332632064819,,
51,51,,,,0.503000020980835,0.6614705920219421
52,52,,,0.6693760752677917,,
52,52,,,,0.5080000162124634,0.6596099734306335
53,53,,,0.667695164680481,,
53,53,,,,0.515999972820282,0.6577293872833252
54,54,,,0.6659879088401794,,
54,54,,,,0.5189999938011169,0.6558237075805664
55,55,,,0.6642512679100037,,
55,55,,,,0.5220000147819519,0.6538966298103333
56,56,,,0.6624764204025269,,
56,56,,,,0.5239999890327454,0.6519337296485901
57,57,,,0.6606637835502625,,
57,57,,,,0.5270000100135803,0.6499348878860474
