,itr,loss
0,901.0,1.4256008863449097
1,902.0,1.4261815547943115
2,903.0,1.363312840461731
3,904.0,1.3654464483261108
4,905.0,1.323778748512268
5,906.0,1.3541916608810425
6,907.0,1.5371158123016357
7,908.0,1.4895522594451904
8,909.0,1.3852455615997314
9,910.0,1.652098536491394
10,911.0,1.4706529378890991
11,912.0,1.4680852890014648
12,913.0,1.5233463048934937
13,914.0,1.3292237520217896
14,915.0,1.5679208040237427
15,916.0,1.4000705480575562
16,917.0,1.5164519548416138
17,918.0,1.4176671504974365
18,919.0,1.4825509786605835
19,920.0,1.460939645767212
20,921.0,1.3938544988632202
21,922.0,1.4941420555114746
22,923.0,1.345864176750183
23,924.0,1.4360054731369019
24,925.0,1.4375967979431152
25,926.0,1.4247291088104248
26,927.0,1.4594354629516602
27,928.0,1.4054285287857056
28,929.0,1.6120446920394897
29,930.0,1.372794270515442
30,931.0,1.3348925113677979
31,932.0,1.5923902988433838
32,933.0,1.425205111503601
33,934.0,1.413845181465149
34,935.0,1.5126625299453735
35,936.0,1.377476692199707
36,937.0,1.4190047979354858
37,938.0,1.3314846754074097
38,939.0,1.5730445384979248
39,940.0,1.3494869470596313
40,941.0,1.354215145111084
41,942.0,1.3608065843582153
42,943.0,1.4168556928634644
43,944.0,1.3326138257980347
44,945.0,1.453256368637085
45,946.0,1.4361355304718018
46,947.0,1.4815163612365723
47,948.0,1.3691245317459106
48,949.0,1.6143798828125
49,950.0,1.4081871509552002
50,951.0,1.5087496042251587
51,952.0,1.4525011777877808
52,953.0,1.4012397527694702
53,954.0,1.3263533115386963
54,955.0,1.400741457939148
55,956.0,1.3473880290985107
56,957.0,1.3879839181900024
57,958.0,1.314932942390442
58,959.0,1.4611700773239136
59,960.0,1.3734828233718872
60,961.0,1.3855220079421997
61,962.0,1.406317114830017
62,963.0,1.4039626121520996
63,964.0,1.3875868320465088
64,965.0,1.3814642429351807
65,966.0,1.3829611539840698
66,967.0,1.3509689569473267
67,968.0,1.3622058629989624
68,969.0,1.3360651731491089
69,970.0,1.312150239944458
70,971.0,1.3697035312652588
71,972.0,1.5450007915496826
72,973.0,1.458605408668518
73,974.0,1.4499976634979248
74,975.0,1.466825008392334
75,976.0,1.4604231119155884
76,977.0,1.4070384502410889
77,978.0,1.423035740852356
78,979.0,1.3963173627853394
79,980.0,1.336678147315979
80,981.0,1.5386215448379517
81,982.0,1.460842490196228
82,983.0,1.5527353286743164
83,984.0,1.477410078048706
84,985.0,1.3316651582717896
85,986.0,1.6217728853225708
86,987.0,1.453836441040039
87,988.0,1.4337235689163208
88,989.0,1.484582543373108
89,990.0,1.3452376127243042
90,991.0,1.4628193378448486
91,992.0,1.4447747468948364
92,993.0,1.4497193098068237
93,994.0,1.4129093885421753
94,995.0,1.3412002325057983
95,996.0,1.404750108718872
96,997.0,1.3261122703552246
97,998.0,1.4350545406341553
98,999.0,1.3582158088684082
99,1000.0,1.5215269327163696
