,itr,loss
0,5801.0,2.285832405090332
1,5802.0,2.2833921909332275
2,5803.0,2.285379648208618
3,5804.0,2.279055118560791
4,5805.0,2.2827908992767334
5,5806.0,2.2748703956604004
6,5807.0,2.2810964584350586
7,5808.0,2.283581495285034
8,5809.0,2.2747702598571777
9,5810.0,2.278104305267334
10,5811.0,2.277892827987671
11,5812.0,2.2771999835968018
12,5813.0,2.2763569355010986
13,5814.0,2.276981830596924
14,5815.0,2.28021240234375
15,5816.0,2.2771098613739014
16,5817.0,2.27984356880188
17,5818.0,2.279421806335449
18,5819.0,2.270951271057129
19,5820.0,2.26762318611145
20,5821.0,2.2845561504364014
21,5822.0,2.2743356227874756
22,5823.0,2.270373582839966
23,5824.0,2.2889316082000732
24,5825.0,2.288198947906494
25,5826.0,2.284576654434204
26,5827.0,2.2679941654205322
27,5828.0,2.282062530517578
28,5829.0,2.286923408508301
29,5830.0,2.3027427196502686
30,5831.0,2.2853989601135254
31,5832.0,2.2788524627685547
32,5833.0,2.2888057231903076
33,5834.0,2.278162717819214
34,5835.0,2.2801735401153564
35,5836.0,2.2881019115448
36,5837.0,2.3007311820983887
37,5838.0,2.326763153076172
38,5839.0,2.3440167903900146
39,5840.0,2.330080032348633
40,5841.0,2.2804856300354004
41,5842.0,2.297171115875244
42,5843.0,2.309030771255493
43,5844.0,2.2840609550476074
44,5845.0,2.284228801727295
45,5846.0,2.3002278804779053
46,5847.0,2.2909114360809326
47,5848.0,2.2718732357025146
48,5849.0,2.268768787384033
49,5850.0,2.2759711742401123
50,5851.0,2.2896406650543213
51,5852.0,2.2887589931488037
52,5853.0,2.2758285999298096
53,5854.0,2.295783519744873
54,5855.0,2.3152177333831787
55,5856.0,2.277872085571289
56,5857.0,2.2826008796691895
57,5858.0,2.3169140815734863
58,5859.0,2.2994384765625
59,5860.0,2.3002688884735107
60,5861.0,2.3230655193328857
61,5862.0,2.302879571914673
62,5863.0,2.2869677543640137
63,5864.0,2.2881500720977783
64,5865.0,2.283324956893921
65,5866.0,2.303189277648926
66,5867.0,2.293764591217041
67,5868.0,2.278859853744507
68,5869.0,2.300539493560791
69,5870.0,2.2789876461029053
70,5871.0,2.2761948108673096
71,5872.0,2.287245273590088
72,5873.0,2.282891035079956
73,5874.0,2.274247407913208
74,5875.0,2.2844057083129883
75,5876.0,2.281148672103882
76,5877.0,2.2820889949798584
77,5878.0,2.2815945148468018
78,5879.0,2.2862019538879395
79,5880.0,2.281918525695801
80,5881.0,2.278184652328491
81,5882.0,2.2746849060058594
82,5883.0,2.279449701309204
83,5884.0,2.280864953994751
84,5885.0,2.2814714908599854
85,5886.0,2.2789018154144287
86,5887.0,2.2718749046325684
87,5888.0,2.2760138511657715
88,5889.0,2.2849228382110596
89,5890.0,2.2801353931427
90,5891.0,2.2760236263275146
91,5892.0,2.2822418212890625
92,5893.0,2.275479793548584
93,5894.0,2.2694923877716064
94,5895.0,2.2654871940612793
95,5896.0,2.2750022411346436
96,5897.0,2.264309883117676
97,5898.0,2.263594627380371
98,5899.0,2.2753913402557373
99,5900.0,2.2622194290161133
