epoch,step,test_accuracy,test_loss,train_loss,val_accuracy,val_loss
0,0,,,1.2675328254699707,,
0,0,,,,0.1599999964237213,1.2283380031585693
1,1,,,1.172348141670227,,
1,1,,,,0.1599999964237213,1.1420649290084839
2,2,,,1.0932955741882324,,
2,2,,,,0.15000000596046448,1.070426344871521
3,3,,,1.0280379056930542,,
3,3,,,,0.14000000059604645,1.0109156370162964
4,4,,,0.9742462635040283,,
4,4,,,,0.11999999731779099,0.9613785743713379
5,5,,,0.9298306107521057,,
5,5,,,,0.10999999940395355,0.9200284481048584
6,6,,,0.8930356502532959,,
6,6,,,,0.10000000149011612,0.8854106068611145
7,7,,,0.8624376058578491,,
7,7,,,,0.10000000149011612,0.8563382029533386
8,8,,,0.8368919491767883,,
8,8,,,,0.10000000149011612,0.8318420648574829
9,9,,,0.8154762983322144,,
9,9,,,,0.10000000149011612,0.8111676573753357
10,10,,,0.7974736094474792,,
10,10,,,,0.07999999821186066,0.793674111366272
11,11,,,0.7823003530502319,,
11,11,,,,0.10000000149011612,0.7788138389587402
12,12,,,0.769443690776825,,
12,12,,,,0.10999999940395355,0.7661411166191101
13,13,,,0.7585021257400513,,
13,13,,,,0.14000000059604645,0.7552746534347534
14,14,,,0.7491323947906494,,
14,14,,,,0.18000000715255737,0.7459100484848022
15,15,,,0.7410607933998108,,
15,15,,,,0.18000000715255737,0.7378349304199219
16,16,,,0.7340862154960632,,
16,16,,,,0.2199999988079071,0.7308308482170105
17,17,,,0.7280234694480896,,
17,17,,,,0.25999999046325684,0.724727988243103
18,18,,,0.7227245569229126,,
18,18,,,,0.28999999165534973,0.719380259513855
19,19,,,0.7180567979812622,,
19,19,,,,0.3100000023841858,0.7146614789962769
20,20,,,0.713918149471283,,
20,20,,,,0.33000001311302185,0.7104699015617371
21,21,,,0.710214376449585,,
21,21,,,,0.33000001311302185,0.7067149877548218
22,22,,,0.7068743109703064,,
22,22,,,,0.3499999940395355,0.7033219933509827
23,23,,,0.7038348317146301,,
23,23,,,,0.3700000047683716,0.7002280950546265
24,24,,,0.7010427713394165,,
24,24,,,,0.38999998569488525,0.6973862648010254
25,25,,,0.698458731174469,,
25,25,,,,0.38999998569488525,0.6947513818740845
26,26,,,0.6960456967353821,,
26,26,,,,0.4099999964237213,0.6922820210456848
27,27,,,0.6937786936759949,,
27,27,,,,0.4300000071525574,0.6899523735046387
28,28,,,0.6916292309761047,,
28,28,,,,0.4399999976158142,0.6877275109291077
29,29,,,0.6895729899406433,,
29,29,,,,0.44999998807907104,0.6855871081352234
30,30,,,0.6875911951065063,,
30,30,,,,0.46000000834465027,0.6835027933120728
31,31,,,0.6856676340103149,,
31,31,,,,0.46000000834465027,0.6814563274383545
32,32,,,0.6837856769561768,,
32,32,,,,0.4699999988079071,0.6794295310974121
33,33,,,0.6819302439689636,,
33,33,,,,0.4699999988079071,0.6774043440818787
34,34,,,0.6800844669342041,,
34,34,,,,0.47999998927116394,0.6753657460212708
35,35,,,0.6782395243644714,,
35,35,,,,0.5,0.6733009815216064
36,36,,,0.6763825416564941,,
36,36,,,,0.5,0.6711955070495605
37,37,,,0.6745017170906067,,
37,37,,,,0.5,0.6690381765365601
38,38,,,0.6725879907608032,,
38,38,,,,0.5,0.666817307472229
39,39,,,0.6706295013427734,,
39,39,,,,0.5,0.6645227074623108
40,40,,,0.6686179637908936,,
40,40,,,,0.5099999904632568,0.6621435284614563
41,41,,,0.6665427684783936,,
41,41,,,,0.5199999809265137,0.6596696972846985
42,42,,,0.6643943190574646,,
42,42,,,,0.5299999713897705,0.6570912003517151
43,43,,,0.6621631383895874,,
43,43,,,,0.5400000214576721,0.6543972492218018
44,44,,,0.6598387956619263,,
44,44,,,,0.550000011920929,0.6515774726867676
45,45,,,0.6574113368988037,,
45,45,,,,0.5600000023841858,0.648619532585144
46,46,,,0.6548705101013184,,
46,46,,,,0.5600000023841858,0.6455138325691223
47,47,,,0.6522042155265808,,
47,47,,,,0.5600000023841858,0.6422467827796936
48,48,,,0.6494004726409912,,
48,48,,,,0.5699999928474426,0.6388068795204163
49,49,,,0.6464517116546631,,
49,49,,,,0.5799999833106995,0.6351708173751831
50,50,,,0.6433357000350952,,
50,50,,,,0.5799999833106995,0.631331205368042
51,51,,,0.6400437951087952,,
51,51,,,,0.5799999833106995,0.6272696256637573
52,52,,,0.6365639567375183,,
52,52,,,,0.5799999833106995,0.622962236404419
53,53,,,0.6328742504119873,,
53,53,,,,0.5899999737739563,0.6184030175209045
54,54,,,0.6289642453193665,,
54,54,,,,0.6299999952316284,0.6135475039482117
55,55,,,0.6248016953468323,,
55,55,,,,0.6299999952316284,0.6083767414093018
56,56,,,0.62037193775177,,
56,56,,,,0.6299999952316284,0.6028748750686646
57,57,,,0.6156622171401978,,
57,57,,,,0.6299999952316284,0.5970112085342407
58,58,,,0.6106393933296204,,
58,58,,,,0.6499999761581421,0.5907624959945679
59,59,,,0.6052910685539246,,
